event_id,timestamp,session_id,operator_id,machine_id,worker_distance_m,worker_relative_direction,closing_speed_mps,machine_speed_kmh,swing_angle_deg,arm_speed,bucket_state,attachment_movement,machine_state,worker_in_envelope,site_slope_deg,surface_type,congestion_level,blind_zone_flag,rain_mm,visibility_m,dust_level,day_night,seatbelt_status,event_type,severity,trigger_reason,required_action,alert_sent,alert_queued,incident_logged,data_source,synthetic_flag,confidence
SE00013,2026-11-01T01:52:02,S004861,OP1018,EXC004,17.3,right,0.0,1.3,0.0,0.0,closed,False,safe_idle,False,14.9,soft,medium,True,0.0,2561.0,low,night,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.826
SE00014,2026-05-28T05:39:07,S002352,OP1021,EXC003,77.8,left,0.0,10.1,0.0,0.0,loading,False,traveling,False,3.3,soft,high,False,0.0,405.0,medium,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.948
SE00015,2026-03-29T02:47:34,S001390,OP1021,EXC006,166.2,rear,0.0,8.0,0.0,0.0,closed,False,traveling,False,14.9,soft,medium,False,0.19,311.0,medium,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.909
SE00016,2026-11-01T07:11:25,S004865,OP1001,EXC004,113.2,right,0.0,12.7,0.0,0.0,loading,False,traveling,False,9.0,paved,low,False,0.12,1806.0,low,day,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.938
SE00017,2026-01-05T12:33:24,S000068,OP1026,EXC006,61.2,right,0.0,6.5,0.0,0.0,loading,False,traveling,False,3.3,soft,high,False,0.0,1736.0,low,day,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.889
SE00018,2026-02-08T15:25:22,S000615,OP1026,EXC004,12.2,rear,0.261,0.1,0.0,0.776,closed,True,digging,False,1.4,paved,high,False,0.36,959.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.892
SE00019,2026-02-03T03:05:51,S000527,OP1020,EXC009,22.4,right,0.109,7.7,0.0,0.0,closed,False,traveling,False,11.8,wet,high,False,0.0,2588.0,low,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.802
SE00020,2026-05-26T19:11:16,S002329,OP1015,EXC007,8.6,rear,0.443,2.3,0.0,0.437,open,True,digging,False,10.1,rocky,low,True,0.0,4319.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.78
SE00021,2026-04-03T04:12:55,S001471,OP1018,EXC007,9.6,right,1.706,1.5,47.5,0.827,closed,True,swinging,True,14.1,rocky,high,False,0.34,1297.0,low,night,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.959
SE00022,2026-03-25T19:19:07,S001337,OP1025,EXC005,11.2,rear,0.427,0.5,0.0,0.868,open,True,digging,False,2.4,soft,medium,False,0.0,3076.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.887
SE00023,2026-09-01T02:40:55,S003886,OP1021,EXC001,8.1,front,0.353,1.2,0.0,0.5,loading,True,digging,False,14.9,soft,medium,False,0.0,1173.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.861
SE00024,2026-11-02T04:52:54,S004880,OP1022,EXC008,149.4,rear,0.07,8.2,0.0,0.0,loading,False,traveling,False,14.1,rocky,high,False,0.0,3177.0,low,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.856
SE00025,2026-06-21T05:46:08,S002736,OP1002,EXC001,166.8,rear,0.0,14.0,0.0,0.0,closed,False,traveling,False,2.4,soft,medium,False,0.57,3990.0,low,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.883
SE00026,2026-10-24T03:45:41,S004734,OP1021,EXC003,8.2,left,0.891,1.9,39.5,0.453,loading,True,swinging,True,11.3,wet,medium,False,0.07,5003.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.88
SE00027,2026-04-12T10:04:52,S001619,OP1016,EXC006,9.8,left,0.074,0.6,0.0,0.0,closed,False,safe_idle,False,11.3,wet,medium,False,0.0,3586.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.805
SE00028,2026-04-12T09:34:08,S001619,OP1016,EXC006,16.2,right,0.0,2.9,0.0,0.0,loading,False,safe_idle,False,11.3,wet,medium,True,0.0,3572.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.812
SE00029,2026-05-13T22:31:52,S002123,OP1013,EXC001,9.9,left,1.965,2.3,77.8,0.673,open,True,swinging,True,11.8,wet,high,False,0.0,3918.0,low,night,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.924
SE00030,2026-08-13T20:28:18,S003594,OP1007,EXC001,10.0,right,0.396,0.9,0.0,0.457,open,True,digging,False,8.6,soft,medium,False,0.0,4383.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.82
SE00031,2026-04-24T15:17:06,S001814,OP1005,EXC002,22.3,front,0.0,5.4,0.0,0.0,loading,False,traveling,False,14.9,soft,medium,False,0.0,3531.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.837
SE00032,2026-04-30T17:03:20,S001912,OP1005,EXC008,14.7,rear,0.014,2.9,0.0,0.0,closed,False,safe_idle,False,9.0,paved,low,False,0.77,4630.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.802
SE00033,2026-10-03T01:25:16,S004397,OP1021,EXC009,11.5,left,0.479,1.3,0.0,0.471,open,True,digging,False,8.6,soft,medium,False,0.02,4753.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.871
SE00034,2026-08-29T09:36:39,S003843,OP1020,EXC006,10.3,left,1.837,1.9,5.5,0.855,closed,True,swinging,True,11.3,wet,medium,False,0.0,3588.0,low,day,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.939
SE00035,2026-10-13T12:06:14,S004564,OP1017,EXC008,9.7,front,0.867,1.5,25.0,0.773,closed,True,swinging,True,11.8,wet,high,True,0.3,1402.0,low,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.904
SE00036,2026-02-24T11:21:36,S000868,OP1011,EXC009,143.3,right,0.0,13.3,0.0,0.0,open,False,traveling,False,14.9,soft,medium,False,0.0,2423.0,low,day,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.894
SE00037,2026-08-26T20:22:18,S003802,OP1005,EXC005,173.9,rear,0.136,12.1,0.0,0.0,open,False,traveling,False,9.0,paved,low,False,0.0,86.0,high,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.902
SE00038,2026-10-30T21:57:45,S004843,OP1006,EXC004,7.9,front,0.892,2.2,10.6,0.568,closed,True,swinging,True,3.3,soft,high,False,3.48,3078.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.866
SE00039,2026-04-01T05:32:46,S001440,OP1028,EXC003,11.5,left,0.35,1.1,0.0,0.875,open,True,digging,False,2.4,soft,medium,False,0.0,623.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.856
SE00040,2026-06-22T19:04:30,S002761,OP1018,EXC008,9.2,right,1.006,2.2,45.6,0.338,closed,True,swinging,True,10.1,rocky,low,False,0.0,541.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.907
SE00041,2026-07-15T03:03:57,S003118,OP1006,EXC003,10.5,right,0.857,1.2,79.2,0.505,closed,True,swinging,True,9.0,paved,low,False,5.35,3315.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.917
SE00042,2026-06-07T14:15:12,S002518,OP1018,EXC005,11.4,left,0.049,1.0,0.0,0.0,closed,False,safe_idle,False,2.4,soft,medium,False,4.85,4736.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.764
SE00043,2026-06-24T01:57:27,S002782,OP1020,EXC004,11.7,front,1.89,2.4,40.3,0.843,closed,True,swinging,True,9.0,paved,low,False,1.76,3916.0,low,night,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.933
SE00044,2026-01-21T05:37:41,S000319,OP1025,EXC001,14.1,rear,0.4,2.6,0.0,0.636,open,True,digging,False,11.3,wet,medium,True,0.0,1201.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.873
SE00045,2026-05-12T07:53:19,S002098,OP1010,EXC006,12.0,rear,0.247,2.5,0.0,0.891,open,True,digging,False,14.1,rocky,high,False,0.0,3397.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.853
SE00046,2026-09-07T06:44:57,S003985,OP1006,EXC003,13.9,left,0.394,0.5,0.0,0.609,closed,True,digging,False,9.0,paved,low,True,0.0,4496.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.879
SE00047,2026-01-26T17:15:49,S000408,OP1023,EXC010,11.6,front,0.31,1.7,0.0,0.434,loading,True,digging,False,3.3,soft,high,False,0.49,4713.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.891
SE00048,2026-09-10T02:26:19,S004029,OP1017,EXC005,11.9,left,0.754,1.4,50.6,0.983,loading,True,swinging,True,11.8,wet,high,False,0.04,2232.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.892
SE00049,2026-01-08T17:08:04,S000120,OP1017,EXC010,9.9,front,0.936,2.4,71.3,0.652,loading,True,swinging,True,10.1,rocky,low,False,0.0,466.0,medium,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.935
SE00050,2026-05-20T11:42:17,S002228,OP1029,EXC004,11.0,rear,0.0,0.5,0.0,0.0,closed,False,safe_idle,False,14.9,soft,medium,False,0.0,4105.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.81
SE00051,2026-06-11T02:14:52,S002574,OP1021,EXC007,12.9,front,0.507,2.3,0.0,0.799,closed,True,digging,False,10.1,rocky,low,False,0.34,3433.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.81
SE00052,2026-03-06T15:31:33,S001030,OP1012,EXC005,14.8,right,0.382,2.2,0.0,0.53,open,True,digging,False,11.3,wet,medium,True,0.0,3217.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.839
SE00053,2026-02-02T09:22:48,S000515,OP1009,EXC003,13.5,front,0.429,1.4,0.0,0.393,open,True,digging,False,3.3,soft,high,False,0.66,163.0,high,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.884
SE00054,2026-10-29T18:44:52,S004825,OP1030,EXC009,18.2,rear,0.0,2.4,0.0,0.0,open,False,safe_idle,False,8.6,soft,medium,False,0.09,891.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.801
SE00055,2026-09-28T14:43:03,S004326,OP1019,EXC010,9.3,front,1.859,2.2,40.1,0.948,loading,True,swinging,True,10.1,rocky,low,True,0.0,1249.0,low,day,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.91
SE00056,2026-05-16T00:53:59,S002157,OP1011,EXC007,20.6,right,0.103,9.5,0.0,0.0,closed,False,traveling,False,3.3,soft,high,False,0.95,3960.0,low,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.746
SE00057,2026-08-10T16:55:41,S003543,OP1027,EXC006,11.0,rear,0.386,0.1,0.0,0.352,loading,True,digging,False,3.3,soft,high,False,0.0,646.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.84
SE00058,2026-10-08T18:55:32,S004489,OP1022,EXC004,7.9,rear,1.001,2.0,77.8,0.89,open,True,swinging,True,10.1,rocky,low,False,0.19,2673.0,low,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.912
SE00059,2026-10-19T08:25:47,S004658,OP1016,EXC006,9.7,front,0.0,1.0,0.0,0.0,loading,False,safe_idle,False,8.6,soft,medium,False,0.09,3170.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.841
SE00060,2026-07-02T15:14:05,S002919,OP1028,EXC002,9.8,front,0.287,2.5,0.0,0.877,loading,True,digging,False,10.1,rocky,low,False,4.07,3623.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.802
SE00061,2026-09-23T20:37:15,S004250,OP1012,EXC009,8.7,left,0.976,1.7,66.7,0.301,closed,True,swinging,True,14.1,rocky,high,False,0.04,2915.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.884
SE00062,2026-07-16T13:03:04,S003141,OP1018,EXC003,13.5,right,0.155,1.3,0.0,0.0,loading,False,safe_idle,False,14.1,rocky,high,True,0.26,1568.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.811
SE00063,2026-04-29T04:05:58,S001887,OP1019,EXC008,8.6,right,0.0,2.9,0.0,0.0,open,False,safe_idle,False,9.0,paved,low,False,0.54,2694.0,low,night,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.88
SE00064,2026-05-17T18:57:12,S002185,OP1022,EXC008,11.1,front,1.957,0.1,51.6,0.885,loading,True,swinging,True,14.1,rocky,high,False,0.13,3936.0,low,day,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.933
SE00065,2026-02-07T00:06:07,S000589,OP1029,EXC005,14.4,rear,0.142,11.3,0.0,0.0,closed,False,traveling,False,8.6,soft,medium,False,0.0,940.0,low,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.812
SE00066,2026-05-30T20:04:37,S002394,OP1029,EXC007,11.9,left,1.754,2.4,40.2,0.867,open,True,swinging,True,11.8,wet,high,True,0.04,2100.0,low,night,on,imminent_collision,CRITICAL,worker_inside_swing_envelope_with_closing_motion,emergency_stop,True,False,True,synthetic,True,0.943
SE00067,2026-06-24T05:52:37,S002784,OP1010,EXC002,23.3,rear,0.089,14.7,0.0,0.0,closed,False,traveling,False,11.8,wet,high,False,0.0,3056.0,low,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.799
SE00068,2026-09-18T09:00:45,S004162,OP1014,EXC007,19.7,left,0.084,7.3,0.0,0.0,open,False,traveling,False,11.8,wet,high,False,0.0,2156.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.834
SE00069,2026-09-18T10:26:00,S004163,OP1012,EXC010,7.1,left,1.031,2.0,14.5,0.91,closed,True,swinging,True,1.4,paved,high,False,0.0,744.0,low,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.846
SE00070,2026-06-24T00:27:33,S002781,OP1006,EXC005,12.9,front,0.45,2.6,0.0,0.865,closed,True,digging,False,14.9,soft,medium,True,0.0,1305.0,low,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.866
SE00071,2026-05-27T12:09:33,S002340,OP1015,EXC009,17.2,front,0.145,7.9,0.0,0.0,closed,False,traveling,False,11.3,wet,medium,False,0.0,3779.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.786
SE00072,2026-01-08T06:27:01,S000113,OP1023,EXC005,15.9,front,0.06,1.3,0.0,0.0,open,False,safe_idle,False,10.1,rocky,low,False,0.0,4028.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.742
SE00073,2026-04-26T04:42:00,S001839,OP1010,EXC002,13.5,left,0.06,5.9,0.0,0.0,loading,False,traveling,False,11.3,wet,medium,False,0.0,4311.0,low,night,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.814
SE00074,2026-08-22T04:36:50,S003727,OP1014,EXC005,7.8,front,1.032,0.9,18.4,0.612,closed,True,swinging,True,14.1,rocky,high,False,0.1,4500.0,low,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.926
SE00075,2026-02-26T19:00:00,S000904,OP1022,EXC003,11.0,front,0.856,2.2,36.6,0.771,open,True,swinging,True,9.0,paved,low,True,7.95,141.0,high,night,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.868
SE00076,2026-10-16T08:33:05,S004610,OP1011,EXC010,9.7,rear,0.259,0.0,0.0,0.512,closed,True,digging,False,8.6,soft,medium,False,0.66,1513.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.848
SE00077,2026-06-16T07:34:33,S002657,OP1011,EXC005,22.5,rear,0.129,12.4,0.0,0.0,open,False,traveling,False,14.1,rocky,high,False,0.0,3217.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.836
SE00078,2026-01-23T18:46:26,S000361,OP1020,EXC008,13.3,rear,0.377,2.3,0.0,0.481,open,True,digging,False,14.1,rocky,high,False,0.42,786.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.836
SE00079,2026-01-20T04:40:51,S000303,OP1001,EXC009,10.2,front,0.0,0.6,0.0,0.0,closed,False,safe_idle,False,2.4,soft,medium,False,0.01,4781.0,low,night,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.825
SE00080,2026-04-07T11:32:38,S001540,OP1026,EXC007,8.4,right,0.342,0.7,0.0,0.834,loading,True,digging,False,8.6,soft,medium,False,0.16,2260.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.84
SE00081,2026-06-06T11:23:08,S002500,OP1015,EXC009,111.3,left,0.0,12.7,0.0,0.0,loading,False,traveling,False,2.4,soft,medium,True,2.03,3825.0,low,day,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.911
SE00082,2026-06-24T13:20:39,S002789,OP1023,EXC002,10.6,front,0.376,2.6,0.0,0.572,closed,True,digging,False,2.4,soft,medium,False,0.0,2679.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.931
SE00083,2026-04-27T06:48:43,S001857,OP1015,EXC009,9.4,front,0.081,0.7,0.0,0.0,closed,False,safe_idle,False,1.4,paved,high,True,2.48,944.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.749
SE00084,2026-07-08T14:03:09,S003014,OP1025,EXC002,14.6,rear,0.245,0.1,0.0,0.871,open,True,digging,False,8.6,soft,medium,True,0.5,2488.0,low,day,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.87
SE00085,2026-08-18T07:09:55,S003665,OP1030,EXC001,16.9,left,0.0,0.0,0.0,0.0,open,False,safe_idle,False,2.4,soft,medium,False,0.0,1568.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.803
SE00086,2026-06-13T12:46:10,S002613,OP1029,EXC007,17.7,left,0.057,11.4,0.0,0.0,loading,False,traveling,False,8.6,soft,medium,False,1.63,1849.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.806
SE00087,2026-10-31T16:11:02,S004855,OP1016,EXC004,185.5,front,0.047,6.8,0.0,0.0,closed,False,traveling,False,10.1,rocky,low,False,1.0,2502.0,low,day,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.869
SE00088,2026-07-15T18:14:28,S003128,OP1009,EXC008,9.5,front,0.926,0.7,27.5,0.433,loading,True,swinging,True,10.1,rocky,low,False,0.0,4522.0,low,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.882
SE00089,2026-07-05T08:48:37,S002962,OP1029,EXC002,14.7,rear,0.116,10.1,0.0,0.0,open,False,traveling,False,1.4,paved,high,False,0.52,501.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.866
SE00090,2026-01-09T12:41:49,S000133,OP1016,EXC008,8.9,right,0.0,1.8,0.0,0.0,closed,False,safe_idle,False,10.1,rocky,low,True,0.03,1002.0,low,day,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.79
SE00091,2026-11-02T18:01:58,S004888,OP1018,EXC010,21.3,rear,0.066,9.6,0.0,0.0,open,False,traveling,False,14.1,rocky,high,False,0.0,1649.0,low,day,on,proximity_low,LOW,worker_nearby_slow_travel,monitor,False,False,False,synthetic,True,0.798
SE00092,2026-04-23T02:55:31,S001790,OP1013,EXC001,9.3,rear,0.393,0.1,0.0,0.593,loading,True,digging,False,10.1,rocky,low,False,0.0,245.0,medium,night,on,proximity_medium,MEDIUM,worker_within_medium_distance,slow_down,False,True,False,synthetic,True,0.846
SE00093,2026-02-01T01:09:31,S000493,OP1021,EXC004,17.3,right,0.026,2.7,0.0,0.0,closed,False,safe_idle,False,10.1,rocky,low,False,0.35,4730.0,low,night,on,proximity_logged,INFO,worker_outside_envelope_machine_stationary,none_required,False,False,False,synthetic,True,0.806
SE00094,2026-05-22T22:04:41,S002267,OP1010,EXC007,162.9,left,0.016,9.1,0.0,0.0,loading,False,traveling,False,14.1,rocky,high,False,0.04,2549.0,low,night,off,seatbelt_violation,HIGH,seatbelt_off_while_moving,stop_immediately,True,False,True,synthetic,True,0.951
SE00095,2026-09-15T17:26:16,S004120,OP1007,EXC006,7.6,right,0.774,1.2,79.6,0.72,closed,True,swinging,True,11.8,wet,high,False,0.27,4201.0,low,day,on,proximity_high,HIGH,worker_inside_swing_envelope_with_closing_motion,stop_or_safe_action,True,False,True,synthetic,True,0.876
