task_id,task_type,task_phase,workload,target_output,priority,deadline_timestamp,location_id,dependency_task_id,estimated_travel_distance_km,required_machine_type,required_attachment,required_skill_level,status
T00021,loading,wrap_up,light,55.7,1,2026-01-10T06:00:00,LOC003,T00007,1.73,loader,grapple,intermediate,completed
T00022,hauling,active,light,26.6,5,2026-01-14T06:00:00,LOC007,null,1.22,hauler,hammer,novice,blocked
T00023,excavation,active,light,112.2,4,2026-01-27T06:00:00,LOC001,null,0.15,excavator,ripper,advanced,pending
T00024,excavation,active,medium,315.6,4,2026-01-07T06:00:00,LOC009,null,0.12,excavator,blade,advanced,completed
T00025,excavation,active,heavy,254.5,5,2026-01-30T06:00:00,LOC010,null,4.92,excavator,hammer,novice,completed
T00026,loading,active,light,47.3,4,2026-01-12T06:00:00,LOC004,null,0.48,loader,ripper,novice,pending
T00027,excavation,active,medium,192.7,4,2026-01-21T06:00:00,LOC002,null,3.01,excavator,ripper,novice,pending
T00028,grading,active,heavy,103.6,5,2026-01-05T06:00:00,LOC001,null,4.97,grader,grapple,intermediate,pending
T00029,hauling,active,medium,7.3,3,2026-01-14T06:00:00,LOC005,null,1.54,hauler,grapple,intermediate,completed
T00030,excavation,active,heavy,164.1,4,2026-01-21T06:00:00,LOC007,null,2.81,excavator,grapple,intermediate,completed
T00031,grading,wrap_up,medium,563.1,4,2026-01-09T06:00:00,LOC010,null,4.0,grader,bucket,intermediate,active
T00032,excavation,active,medium,117.2,2,2026-01-17T06:00:00,LOC010,null,0.97,excavator,hammer,novice,completed
T00033,stockpiling,active,heavy,132.3,3,2026-01-11T06:00:00,LOC005,null,3.73,loader,grapple,intermediate,completed
T00034,trenching,wrap_up,heavy,163.7,3,2026-01-23T06:00:00,LOC001,null,1.1,excavator,grapple,advanced,pending
T00035,stockpiling,wrap_up,medium,116.2,4,2026-01-25T06:00:00,LOC004,null,2.95,loader,hammer,intermediate,completed
T00036,stockpiling,active,medium,136.4,4,2026-01-13T06:00:00,LOC002,null,0.9,loader,blade,advanced,pending
T00037,stockpiling,active,heavy,105.1,1,2026-01-07T06:00:00,LOC005,null,1.01,loader,blade,intermediate,active
T00038,loading,wrap_up,medium,54.6,3,2026-01-02T06:00:00,LOC009,T00020,1.34,loader,bucket,novice,completed
T00039,hauling,wrap_up,heavy,47.9,3,2026-01-10T06:00:00,LOC001,null,0.78,hauler,ripper,novice,active
T00040,excavation,active,light,164.0,4,2026-01-23T06:00:00,LOC005,null,4.27,excavator,bucket,intermediate,completed
T00041,loading,active,heavy,79.5,1,2026-01-18T06:00:00,LOC003,null,4.71,loader,grapple,novice,completed
T00042,excavation,active,medium,252.4,5,2026-01-07T06:00:00,LOC002,null,3.58,excavator,blade,novice,completed
T00043,loading,active,light,24.5,1,2026-01-26T06:00:00,LOC010,null,4.45,loader,bucket,advanced,active
T00044,trenching,active,light,42.6,3,2026-01-13T06:00:00,LOC002,null,2.46,excavator,ripper,advanced,pending
T00045,trenching,active,light,41.4,1,2026-01-29T06:00:00,LOC010,null,1.68,excavator,ripper,intermediate,active
T00046,loading,wrap_up,heavy,76.7,1,2026-01-21T06:00:00,LOC004,null,0.85,loader,grapple,advanced,pending
T00047,excavation,active,medium,387.9,4,2026-01-28T06:00:00,LOC008,null,1.14,excavator,blade,advanced,active
T00048,grading,active,light,512.4,4,2026-01-30T06:00:00,LOC002,T00026,0.85,grader,hammer,intermediate,pending
T00049,stockpiling,active,medium,191.9,4,2026-01-14T06:00:00,LOC001,null,4.76,loader,grapple,intermediate,pending
T00050,grading,setup,medium,903.2,4,2026-01-11T06:00:00,LOC008,null,4.96,grader,grapple,intermediate,completed
T00051,loading,active,medium,60.6,2,2026-01-22T06:00:00,LOC002,null,2.59,loader,hammer,advanced,active
T00052,grading,active,medium,213.2,5,2026-01-28T06:00:00,LOC001,null,3.37,grader,bucket,intermediate,completed
T00053,excavation,active,heavy,161.0,1,2026-01-25T06:00:00,LOC010,null,0.73,excavator,hammer,advanced,pending
T00054,loading,wrap_up,light,58.8,3,2026-01-09T06:00:00,LOC008,null,4.77,loader,grapple,intermediate,pending
T00055,grading,active,medium,120.9,5,2026-01-22T06:00:00,LOC006,null,4.39,grader,grapple,advanced,active
T00056,stockpiling,active,medium,162.3,3,2026-01-19T06:00:00,LOC007,null,1.74,loader,ripper,novice,blocked
T00057,stockpiling,active,heavy,235.9,5,2026-01-29T06:00:00,LOC002,null,2.34,loader,grapple,advanced,completed
T00058,loading,active,medium,29.7,4,2026-01-08T06:00:00,LOC009,null,4.32,loader,grapple,novice,pending
T00059,loading,setup,heavy,20.4,5,2026-01-05T06:00:00,LOC002,null,4.99,loader,blade,novice,pending
T00060,loading,wrap_up,heavy,16.3,5,2026-01-07T06:00:00,LOC002,null,3.97,loader,blade,novice,completed
T00061,grading,active,medium,597.0,5,2026-01-22T06:00:00,LOC003,null,3.46,grader,grapple,advanced,blocked
T00062,stockpiling,setup,medium,293.7,2,2026-01-20T06:00:00,LOC004,null,2.36,loader,bucket,intermediate,pending
T00063,grading,active,heavy,475.0,4,2026-01-11T06:00:00,LOC004,null,3.77,grader,blade,advanced,active
T00064,hauling,wrap_up,light,11.9,2,2026-01-25T06:00:00,LOC006,null,0.43,hauler,grapple,novice,pending
T00065,loading,active,heavy,25.1,1,2026-01-04T06:00:00,LOC001,null,4.32,loader,bucket,novice,active
T00066,hauling,active,medium,38.9,2,2026-01-14T06:00:00,LOC003,T00054,3.78,hauler,grapple,advanced,pending
T00067,excavation,active,light,88.7,2,2026-01-15T06:00:00,LOC002,null,0.96,excavator,bucket,advanced,pending
T00068,stockpiling,active,medium,266.3,4,2026-01-30T06:00:00,LOC010,null,4.38,loader,ripper,intermediate,pending
T00069,grading,active,medium,595.8,2,2026-01-07T06:00:00,LOC009,null,3.58,grader,grapple,novice,pending
T00070,grading,active,heavy,844.0,2,2026-01-19T06:00:00,LOC004,null,1.99,grader,grapple,advanced,active
T00071,loading,active,light,10.1,1,2026-01-09T06:00:00,LOC003,null,4.48,loader,hammer,intermediate,pending
T00072,hauling,wrap_up,light,14.7,3,2026-01-26T06:00:00,LOC005,null,1.06,hauler,grapple,novice,pending
T00073,excavation,active,light,110.6,4,2026-01-21T06:00:00,LOC009,null,1.67,excavator,blade,intermediate,pending
T00074,loading,active,heavy,93.7,4,2026-01-28T06:00:00,LOC007,null,0.63,loader,bucket,novice,completed
T00075,excavation,active,heavy,286.7,1,2026-01-05T06:00:00,LOC010,null,0.32,excavator,blade,intermediate,pending
T00076,stockpiling,active,heavy,164.6,5,2026-01-28T06:00:00,LOC006,null,4.86,loader,grapple,advanced,pending
T00077,trenching,active,light,38.6,4,2026-01-13T06:00:00,LOC009,null,2.99,excavator,grapple,intermediate,active
T00078,loading,wrap_up,medium,39.6,5,2026-01-12T06:00:00,LOC003,null,2.88,loader,grapple,intermediate,completed
T00079,trenching,active,medium,37.0,2,2026-01-15T06:00:00,LOC002,null,3.64,excavator,ripper,intermediate,pending
T00080,trenching,active,heavy,127.5,2,2026-01-17T06:00:00,LOC002,null,0.36,excavator,hammer,intermediate,pending
T00081,stockpiling,setup,light,213.7,5,2026-01-29T06:00:00,LOC006,null,0.23,loader,blade,advanced,completed
T00082,trenching,active,medium,178.2,1,2026-01-15T06:00:00,LOC010,null,2.87,excavator,blade,novice,pending
T00083,hauling,active,heavy,48.4,4,2026-01-09T06:00:00,LOC009,null,1.02,hauler,ripper,intermediate,completed
T00084,loading,active,medium,98.4,5,2026-01-13T06:00:00,LOC008,null,2.18,loader,hammer,advanced,active
T00085,excavation,active,medium,186.7,4,2026-01-12T06:00:00,LOC009,null,0.22,excavator,ripper,intermediate,active
T00086,grading,active,medium,136.1,4,2026-01-20T06:00:00,LOC006,null,2.66,grader,grapple,advanced,pending
T00087,excavation,setup,heavy,232.2,2,2026-01-08T06:00:00,LOC009,null,4.87,excavator,blade,novice,completed
T00088,hauling,active,light,29.1,3,2026-01-12T06:00:00,LOC004,null,4.8,hauler,ripper,intermediate,completed
T00089,loading,setup,heavy,85.4,5,2026-01-03T06:00:00,LOC002,null,0.39,loader,bucket,advanced,pending
T00090,trenching,active,medium,31.4,3,2026-01-27T06:00:00,LOC002,null,1.62,excavator,ripper,advanced,pending
T00091,stockpiling,active,heavy,293.5,5,2026-01-21T06:00:00,LOC007,T00018,4.72,loader,ripper,intermediate,completed
T00092,trenching,wrap_up,heavy,146.9,4,2026-01-05T06:00:00,LOC005,null,2.34,excavator,ripper,intermediate,pending
T00093,loading,active,medium,93.8,5,2026-01-04T06:00:00,LOC007,T00067,0.27,loader,blade,novice,pending
T00094,stockpiling,wrap_up,heavy,93.8,3,2026-01-13T06:00:00,LOC006,null,0.85,loader,bucket,advanced,pending
T00095,trenching,active,medium,56.3,3,2026-01-03T06:00:00,LOC009,null,3.13,excavator,hammer,advanced,blocked
T00096,loading,active,heavy,44.0,2,2026-01-08T06:00:00,LOC008,T00045,2.75,loader,grapple,novice,pending
T00097,grading,active,medium,252.0,3,2026-01-06T06:00:00,LOC008,null,1.02,grader,ripper,advanced,active
T00098,trenching,active,heavy,107.5,3,2026-01-05T06:00:00,LOC005,null,2.17,excavator,ripper,novice,active
T00099,excavation,wrap_up,medium,453.5,1,2026-01-19T06:00:00,LOC003,null,0.4,excavator,grapple,advanced,completed
T00100,hauling,active,heavy,33.4,2,2026-01-25T06:00:00,LOC004,null,3.35,hauler,hammer,advanced,blocked
T00101,loading,active,medium,51.4,5,2026-01-20T06:00:00,LOC006,null,3.75,loader,blade,intermediate,pending
T00102,grading,wrap_up,medium,199.7,1,2026-01-05T06:00:00,LOC010,null,0.86,grader,blade,novice,pending
T00103,trenching,active,light,84.4,4,2026-01-23T06:00:00,LOC008,null,0.82,excavator,grapple,intermediate,pending
T00104,excavation,active,light,266.5,2,2026-01-09T06:00:00,LOC008,null,3.77,excavator,bucket,advanced,active
T00105,hauling,active,medium,22.6,2,2026-01-11T06:00:00,LOC008,null,3.78,hauler,blade,novice,pending
T00106,excavation,active,medium,156.2,3,2026-01-11T06:00:00,LOC008,null,4.66,excavator,blade,intermediate,completed
T00107,hauling,wrap_up,heavy,40.6,4,2026-01-15T06:00:00,LOC004,null,0.5,hauler,grapple,advanced,active
T00108,trenching,active,medium,170.6,5,2026-01-02T06:00:00,LOC002,null,1.2,excavator,bucket,advanced,completed
T00109,stockpiling,active,medium,102.4,5,2026-01-05T06:00:00,LOC009,null,4.7,loader,hammer,intermediate,active
T00110,loading,active,light,95.4,4,2026-01-11T06:00:00,LOC005,null,4.19,loader,bucket,advanced,pending
T00111,excavation,wrap_up,light,355.0,2,2026-01-30T06:00:00,LOC010,null,1.25,excavator,ripper,advanced,blocked
T00112,loading,active,medium,79.8,4,2026-01-10T06:00:00,LOC008,null,1.95,loader,hammer,advanced,pending
T00113,excavation,setup,light,283.5,5,2026-01-12T06:00:00,LOC008,null,0.54,excavator,ripper,novice,completed
T00114,loading,active,medium,53.1,4,2026-01-13T06:00:00,LOC009,null,3.25,loader,hammer,advanced,blocked
T00115,loading,active,medium,77.9,5,2026-01-09T06:00:00,LOC010,null,2.39,loader,bucket,novice,pending
T00116,trenching,active,heavy,164.5,4,2026-01-07T06:00:00,LOC003,null,1.44,excavator,bucket,novice,pending
T00117,stockpiling,active,medium,39.5,2,2026-01-28T06:00:00,LOC001,null,3.23,loader,bucket,intermediate,pending
T00118,stockpiling,active,light,43.6,5,2026-01-24T06:00:00,LOC009,null,1.6,loader,bucket,intermediate,completed
T00119,excavation,active,medium,444.5,5,2026-01-06T06:00:00,LOC002,null,3.75,excavator,grapple,novice,completed
T00120,loading,active,medium,55.5,3,2026-01-25T06:00:00,LOC006,null,2.04,loader,ripper,advanced,blocked
T00121,excavation,active,light,407.9,4,2026-01-10T06:00:00,LOC005,null,3.64,excavator,ripper,advanced,blocked
T00122,loading,active,heavy,18.4,3,2026-01-28T06:00:00,LOC005,null,4.39,loader,bucket,novice,completed
T00123,loading,active,heavy,40.3,5,2026-01-15T06:00:00,LOC003,null,3.33,loader,hammer,advanced,pending
T00124,excavation,active,medium,74.8,3,2026-01-26T06:00:00,LOC004,null,4.34,excavator,hammer,novice,pending
T00125,stockpiling,active,heavy,231.4,4,2026-01-23T06:00:00,LOC009,T00045,1.16,loader,grapple,intermediate,completed
T00126,excavation,wrap_up,medium,336.0,1,2026-01-13T06:00:00,LOC004,null,2.7,excavator,hammer,novice,active
T00127,grading,wrap_up,heavy,414.6,5,2026-01-15T06:00:00,LOC006,null,0.79,grader,blade,advanced,blocked
T00128,stockpiling,active,light,62.4,1,2026-01-26T06:00:00,LOC004,null,4.95,loader,bucket,novice,pending
T00129,hauling,active,medium,44.7,2,2026-01-04T06:00:00,LOC007,null,2.66,hauler,ripper,advanced,active
T00130,loading,active,medium,23.8,1,2026-01-03T06:00:00,LOC008,null,4.23,loader,blade,advanced,completed
T00131,hauling,active,light,36.0,4,2026-01-27T06:00:00,LOC007,T00043,1.55,hauler,ripper,advanced,pending
T00132,trenching,active,medium,44.3,2,2026-01-18T06:00:00,LOC007,null,3.41,excavator,grapple,advanced,pending
T00133,loading,active,medium,76.9,1,2026-01-14T06:00:00,LOC008,null,4.17,loader,blade,intermediate,completed
T00134,trenching,active,heavy,108.5,5,2026-01-17T06:00:00,LOC006,null,3.05,excavator,ripper,advanced,pending
T00135,trenching,active,medium,193.2,5,2026-01-16T06:00:00,LOC006,null,0.99,excavator,grapple,intermediate,pending
T00136,excavation,active,medium,64.5,2,2026-01-08T06:00:00,LOC006,null,0.86,excavator,bucket,advanced,pending
T00137,grading,active,heavy,307.6,4,2026-01-13T06:00:00,LOC003,null,2.55,grader,ripper,novice,completed
T00138,stockpiling,active,medium,101.0,4,2026-01-23T06:00:00,LOC006,null,4.97,loader,bucket,advanced,active
T00139,grading,active,medium,849.6,5,2026-01-13T06:00:00,LOC003,null,2.26,grader,blade,novice,blocked
T00140,stockpiling,active,medium,177.8,1,2026-01-30T06:00:00,LOC006,null,2.58,loader,grapple,intermediate,active
T00141,grading,setup,light,865.5,2,2026-01-14T06:00:00,LOC010,null,1.22,grader,grapple,novice,active
T00142,excavation,active,medium,173.8,4,2026-01-24T06:00:00,LOC001,null,0.37,excavator,ripper,intermediate,pending
T00143,hauling,active,medium,8.2,4,2026-01-17T06:00:00,LOC005,null,4.48,hauler,ripper,novice,pending
T00144,stockpiling,active,light,208.2,1,2026-01-02T06:00:00,LOC008,null,3.04,loader,ripper,advanced,active
T00145,loading,active,light,41.7,2,2026-01-24T06:00:00,LOC005,null,0.19,loader,hammer,novice,completed
T00146,grading,active,medium,192.5,5,2026-01-14T06:00:00,LOC005,null,3.06,grader,hammer,novice,pending
T00147,excavation,active,heavy,466.6,3,2026-01-06T06:00:00,LOC005,null,4.65,excavator,blade,intermediate,blocked
T00148,stockpiling,wrap_up,heavy,292.1,4,2026-01-27T06:00:00,LOC002,T00003,0.48,loader,grapple,novice,completed
T00149,grading,active,light,765.8,4,2026-01-26T06:00:00,LOC001,null,3.68,grader,bucket,advanced,active
T00150,trenching,active,medium,51.5,5,2026-01-28T06:00:00,LOC004,null,2.37,excavator,blade,intermediate,completed
T00151,excavation,active,heavy,158.8,3,2026-01-29T06:00:00,LOC007,null,4.64,excavator,bucket,novice,completed
T00152,stockpiling,active,medium,49.2,1,2026-01-15T06:00:00,LOC005,null,3.79,loader,grapple,novice,pending
T00153,hauling,active,medium,47.9,2,2026-01-10T06:00:00,LOC007,null,0.67,hauler,blade,advanced,active
T00154,excavation,setup,medium,112.9,4,2026-01-07T06:00:00,LOC003,null,2.13,excavator,grapple,intermediate,pending
T00155,excavation,active,medium,98.9,3,2026-01-17T06:00:00,LOC001,null,1.32,excavator,blade,intermediate,pending
T00156,hauling,active,light,28.2,3,2026-01-26T06:00:00,LOC008,null,2.16,hauler,blade,advanced,completed
T00157,stockpiling,active,medium,242.6,4,2026-01-30T06:00:00,LOC006,T00016,4.65,loader,hammer,advanced,pending
T00158,loading,setup,medium,98.9,1,2026-01-30T06:00:00,LOC001,null,2.32,loader,bucket,advanced,pending
T00159,trenching,setup,light,190.2,3,2026-01-10T06:00:00,LOC010,null,2.57,excavator,blade,novice,active
T00160,stockpiling,wrap_up,medium,166.2,4,2026-01-04T06:00:00,LOC009,null,2.3,loader,bucket,novice,completed
T00161,loading,active,medium,12.8,5,2026-01-28T06:00:00,LOC005,null,1.08,loader,blade,advanced,pending
T00162,grading,active,medium,745.1,3,2026-01-21T06:00:00,LOC005,null,1.87,grader,bucket,advanced,active
T00163,excavation,setup,medium,105.8,2,2026-01-14T06:00:00,LOC010,null,3.76,excavator,blade,intermediate,completed
T00164,stockpiling,active,medium,298.1,3,2026-01-05T06:00:00,LOC004,null,0.9,loader,bucket,intermediate,active
T00165,excavation,wrap_up,medium,67.8,1,2026-01-12T06:00:00,LOC010,null,1.28,excavator,bucket,intermediate,pending
T00166,loading,active,medium,40.5,2,2026-01-09T06:00:00,LOC004,null,0.54,loader,hammer,novice,pending
T00167,hauling,active,medium,19.2,5,2026-01-12T06:00:00,LOC001,null,3.85,hauler,hammer,advanced,completed
T00168,loading,active,medium,93.6,3,2026-01-26T06:00:00,LOC001,null,4.97,loader,grapple,advanced,pending
T00169,grading,active,medium,871.2,2,2026-01-24T06:00:00,LOC001,T00113,1.45,grader,ripper,intermediate,pending
T00170,loading,active,heavy,34.3,2,2026-01-30T06:00:00,LOC009,null,2.19,loader,ripper,advanced,active
T00171,loading,active,light,41.7,4,2026-01-11T06:00:00,LOC006,null,2.13,loader,grapple,advanced,pending
T00172,stockpiling,active,light,172.1,5,2026-01-16T06:00:00,LOC006,null,4.11,loader,bucket,novice,pending
T00173,stockpiling,active,medium,45.9,2,2026-01-18T06:00:00,LOC006,null,4.1,loader,bucket,novice,active
T00174,loading,wrap_up,heavy,26.7,1,2026-01-12T06:00:00,LOC003,null,2.98,loader,blade,intermediate,active
T00175,excavation,wrap_up,medium,442.6,2,2026-01-22T06:00:00,LOC005,null,4.62,excavator,ripper,novice,pending
T00176,stockpiling,active,medium,142.4,2,2026-01-11T06:00:00,LOC004,null,4.5,loader,bucket,advanced,completed
T00177,excavation,active,medium,92.3,4,2026-01-05T06:00:00,LOC008,T00045,3.77,excavator,ripper,intermediate,pending
T00178,loading,active,medium,15.5,3,2026-01-27T06:00:00,LOC004,null,1.35,loader,hammer,intermediate,pending
T00179,loading,active,medium,79.5,2,2026-01-11T06:00:00,LOC001,null,2.98,loader,blade,novice,active
T00180,stockpiling,setup,medium,218.5,3,2026-01-30T06:00:00,LOC010,null,2.35,loader,bucket,novice,active
T00181,excavation,active,heavy,333.0,3,2026-01-02T06:00:00,LOC010,null,3.8,excavator,hammer,intermediate,completed
T00182,excavation,active,heavy,341.8,3,2026-01-26T06:00:00,LOC005,null,1.02,excavator,ripper,intermediate,completed
T00183,excavation,active,light,181.5,1,2026-01-27T06:00:00,LOC010,T00091,3.57,excavator,grapple,intermediate,pending
T00184,loading,setup,light,75.7,5,2026-01-23T06:00:00,LOC010,T00014,3.81,loader,blade,intermediate,active
T00185,loading,active,medium,90.8,3,2026-01-24T06:00:00,LOC007,null,0.49,loader,ripper,intermediate,pending
T00186,loading,active,heavy,54.7,4,2026-01-13T06:00:00,LOC010,null,0.26,loader,ripper,novice,active
T00187,excavation,active,light,308.1,5,2026-01-13T06:00:00,LOC005,null,2.94,excavator,grapple,novice,completed
T00188,excavation,active,heavy,216.3,3,2026-01-12T06:00:00,LOC006,null,0.44,excavator,blade,novice,pending
T00189,grading,setup,heavy,852.0,4,2026-01-02T06:00:00,LOC001,null,0.22,grader,bucket,advanced,completed
T00190,excavation,active,heavy,270.0,1,2026-01-03T06:00:00,LOC006,null,4.95,excavator,grapple,novice,completed
T00191,excavation,active,medium,168.5,5,2026-01-04T06:00:00,LOC009,null,1.9,excavator,grapple,intermediate,active
T00192,loading,active,medium,23.5,5,2026-01-17T06:00:00,LOC009,null,3.05,loader,grapple,novice,completed
T00193,hauling,setup,light,39.3,1,2026-01-14T06:00:00,LOC002,null,0.32,hauler,ripper,intermediate,pending
T00194,trenching,active,light,127.1,1,2026-01-23T06:00:00,LOC010,null,1.36,excavator,blade,novice,pending
T00195,trenching,active,heavy,165.0,4,2026-01-08T06:00:00,LOC003,null,2.82,excavator,blade,advanced,pending
T00196,stockpiling,wrap_up,medium,175.1,5,2026-01-10T06:00:00,LOC005,null,0.63,loader,blade,novice,active
T00197,excavation,active,heavy,93.6,1,2026-01-24T06:00:00,LOC002,null,3.66,excavator,ripper,novice,completed
T00198,grading,active,medium,627.6,3,2026-01-03T06:00:00,LOC004,null,3.52,grader,bucket,advanced,active
T00199,grading,wrap_up,light,282.2,4,2026-01-21T06:00:00,LOC007,null,2.46,grader,grapple,advanced,pending
T00200,loading,active,medium,74.8,1,2026-01-18T06:00:00,LOC007,null,3.97,loader,hammer,intermediate,active
T00201,grading,active,heavy,711.1,2,2026-01-05T06:00:00,LOC004,null,3.0,grader,bucket,novice,completed
T00202,hauling,active,medium,25.1,5,2026-01-08T06:00:00,LOC009,null,3.64,hauler,blade,intermediate,pending
T00203,excavation,active,heavy,277.3,1,2026-01-12T06:00:00,LOC010,null,0.62,excavator,blade,novice,completed
T00204,loading,active,light,64.8,5,2026-01-11T06:00:00,LOC010,null,2.07,loader,bucket,novice,blocked
T00205,hauling,active,heavy,27.4,3,2026-01-30T06:00:00,LOC002,null,3.45,hauler,bucket,advanced,completed
T00206,loading,wrap_up,medium,67.8,5,2026-01-19T06:00:00,LOC009,T00195,2.16,loader,grapple,advanced,pending
T00207,excavation,setup,light,296.9,5,2026-01-05T06:00:00,LOC003,null,0.9,excavator,blade,intermediate,pending
T00208,grading,wrap_up,heavy,846.2,1,2026-01-14T06:00:00,LOC003,null,3.14,grader,hammer,intermediate,completed
T00209,excavation,active,heavy,219.8,2,2026-01-20T06:00:00,LOC001,null,2.6,excavator,blade,intermediate,active
T00210,loading,active,heavy,25.6,3,2026-01-05T06:00:00,LOC007,null,1.54,loader,blade,intermediate,active
T00211,grading,active,medium,122.5,2,2026-01-17T06:00:00,LOC003,null,2.37,grader,ripper,novice,completed
T00212,grading,active,medium,137.1,3,2026-01-09T06:00:00,LOC008,null,3.31,grader,bucket,novice,pending
T00213,trenching,active,medium,131.6,2,2026-01-30T06:00:00,LOC007,null,4.31,excavator,ripper,novice,blocked
T00214,excavation,active,light,250.4,1,2026-01-12T06:00:00,LOC009,null,0.91,excavator,blade,novice,active
T00215,hauling,active,light,18.3,4,2026-01-15T06:00:00,LOC010,null,0.53,hauler,blade,intermediate,blocked
T00216,stockpiling,active,heavy,38.5,4,2026-01-26T06:00:00,LOC002,null,3.11,loader,bucket,advanced,completed
T00217,loading,active,medium,79.6,1,2026-01-08T06:00:00,LOC003,null,2.52,loader,blade,novice,completed
T00218,hauling,wrap_up,light,46.9,5,2026-01-12T06:00:00,LOC010,null,2.17,hauler,grapple,advanced,pending
T00219,loading,setup,medium,89.9,3,2026-01-18T06:00:00,LOC007,null,2.65,loader,bucket,intermediate,active
T00220,excavation,active,heavy,308.7,1,2026-01-12T06:00:00,LOC003,null,1.53,excavator,ripper,advanced,completed
T00221,hauling,active,heavy,23.9,2,2026-01-27T06:00:00,LOC009,null,3.75,hauler,bucket,intermediate,blocked
T00222,loading,active,heavy,45.7,1,2026-01-17T06:00:00,LOC010,null,1.31,loader,blade,novice,completed
T00223,hauling,active,medium,25.1,3,2026-01-23T06:00:00,LOC003,T00110,2.41,hauler,blade,novice,active
T00224,trenching,active,medium,164.1,3,2026-01-18T06:00:00,LOC009,null,0.85,excavator,bucket,intermediate,pending
T00225,grading,active,medium,953.8,4,2026-01-23T06:00:00,LOC004,null,4.39,grader,blade,novice,completed
T00226,excavation,setup,medium,441.8,5,2026-01-30T06:00:00,LOC007,null,2.71,excavator,bucket,intermediate,completed
T00227,grading,active,light,678.5,5,2026-01-16T06:00:00,LOC009,null,1.31,grader,ripper,novice,pending
T00228,hauling,active,heavy,5.5,3,2026-01-09T06:00:00,LOC006,null,2.61,hauler,ripper,advanced,pending
T00229,loading,active,light,45.4,4,2026-01-09T06:00:00,LOC006,null,0.11,loader,ripper,advanced,active
T00230,loading,active,light,57.7,2,2026-01-10T06:00:00,LOC008,null,2.92,loader,ripper,novice,completed
T00231,excavation,active,light,134.0,2,2026-01-26T06:00:00,LOC008,null,0.26,excavator,grapple,advanced,completed
T00232,hauling,active,heavy,36.4,5,2026-01-18T06:00:00,LOC006,T00053,2.67,hauler,hammer,intermediate,blocked
T00233,excavation,setup,heavy,250.4,1,2026-01-20T06:00:00,LOC007,null,4.22,excavator,ripper,advanced,pending
T00234,hauling,active,medium,34.2,1,2026-01-06T06:00:00,LOC006,null,1.37,hauler,grapple,intermediate,pending
T00235,excavation,active,light,361.3,2,2026-01-05T06:00:00,LOC007,null,2.74,excavator,grapple,advanced,pending
T00236,hauling,wrap_up,heavy,31.1,3,2026-01-23T06:00:00,LOC007,T00108,1.83,hauler,grapple,advanced,completed
T00237,stockpiling,active,light,96.1,1,2026-01-19T06:00:00,LOC007,null,3.68,loader,blade,advanced,pending
T00238,excavation,active,light,62.7,3,2026-01-07T06:00:00,LOC006,null,1.48,excavator,hammer,intermediate,active
