training_id,operator_id,trigger_event_id,issue_type,attribution_type,confidence,lesson_id,lesson_type,quiz_score_before,quiz_score_after,before_metric,after_metric,improvement_pct,escalation_state,completed_timestamp
TR00104,OP1009,SE01420,fuel_efficiency,operator-driven,0.91,L005,scenario,7,9,0.671,0.905,23.3,first_trigger,2026-01-23T06:00:00
TR00105,OP1003,SE00911,seatbelt_compliance,operator-driven,0.714,L002,scenario,7,8,0.737,0.808,7.1,first_trigger,2026-02-16T06:00:00
TR00106,OP1004,SE00757,efficient_loading,operator-driven,0.659,L004,quiz_only,6,7,0.671,0.727,5.6,second_trigger,2026-01-11T06:00:00
TR00107,OP1024,SE01263,seatbelt_compliance,operator-driven,0.734,L002,micro_lesson,5,10,0.539,0.623,8.4,first_trigger,2026-01-24T06:00:00
TR00108,OP1011,SE01144,fuel_efficiency,mixed,0.769,L005,quiz_only,7,5,0.589,0.745,15.6,first_trigger,2026-01-12T06:00:00
TR00109,OP1001,SE01089,seatbelt_compliance,mixed,0.931,L002,scenario,3,9,0.726,0.858,13.2,first_trigger,2026-02-05T06:00:00
TR00110,OP1023,SE01441,seatbelt_compliance,operator-driven,0.747,L002,scenario,7,5,0.677,0.703,2.6,second_trigger,2026-01-22T06:00:00
TR00111,OP1029,SE00845,idle_reduction,operator-driven,0.717,L001,quiz_only,6,5,0.312,0.331,1.9,second_trigger,2026-01-09T06:00:00
TR00112,OP1021,SE00991,seatbelt_compliance,mixed,0.82,L002,scenario,3,9,0.594,0.831,23.7,second_trigger,2026-01-29T06:00:00
TR00113,OP1022,SE00938,seatbelt_compliance,mixed,0.93,L002,scenario,6,10,0.747,0.819,7.2,second_trigger,2026-02-10T06:00:00
TR00114,OP1014,SE00055,seatbelt_compliance,operator-driven,0.871,L002,scenario,3,5,0.559,0.83,27.0,escalated_to_supervisor,2026-02-13T06:00:00
TR00115,OP1005,SE00460,seatbelt_compliance,operator-driven,0.756,L002,quiz_only,6,7,0.319,0.423,10.4,first_trigger,2026-02-22T06:00:00
TR00116,OP1001,SE00611,seatbelt_compliance,mixed,0.806,L002,scenario,6,7,0.724,0.985,26.0,escalated_to_supervisor,2026-02-21T06:00:00
TR00117,OP1007,SE00505,efficient_loading,mixed,0.781,L004,scenario,7,6,0.714,0.927,21.3,first_trigger,2026-01-24T06:00:00
TR00118,OP1016,SE01185,seatbelt_compliance,mixed,0.709,L002,scenario,7,8,0.532,0.534,0.2,second_trigger,2026-01-21T06:00:00
TR00119,OP1006,SE00474,efficient_loading,mixed,0.88,L004,quiz_only,6,7,0.415,0.686,27.2,first_trigger,2026-02-17T06:00:00
TR00120,OP1007,SE00151,swing_zone_awareness,operator-driven,0.771,L003,micro_lesson,4,9,0.499,0.697,19.8,second_trigger,2026-02-04T06:00:00
TR00121,OP1001,SE00635,swing_zone_awareness,mixed,0.711,L003,scenario,5,5,0.335,0.394,5.9,second_trigger,2026-01-26T06:00:00
TR00122,OP1018,SE01454,fuel_efficiency,operator-driven,0.88,L005,scenario,7,5,0.44,0.549,11.0,escalated_to_supervisor,2026-01-25T06:00:00
TR00123,OP1008,SE00589,seatbelt_compliance,operator-driven,0.773,L002,micro_lesson,6,10,0.689,0.829,14.0,first_trigger,2026-02-09T06:00:00
TR00124,OP1028,SE00316,fuel_efficiency,operator-driven,0.676,L005,quiz_only,6,6,0.491,0.534,4.3,second_trigger,2026-01-21T06:00:00
TR00125,OP1015,SE01494,seatbelt_compliance,operator-driven,0.751,L002,scenario,7,5,0.583,0.86,27.7,first_trigger,2026-01-13T06:00:00
TR00126,OP1016,SE01295,efficient_loading,mixed,0.777,L004,micro_lesson,3,6,0.693,0.964,27.1,first_trigger,2026-01-10T06:00:00
TR00127,OP1025,SE00797,idle_reduction,operator-driven,0.859,L001,micro_lesson,7,9,0.485,0.695,21.0,second_trigger,2026-01-22T06:00:00
TR00128,OP1007,SE00834,efficient_loading,operator-driven,0.691,L004,quiz_only,5,6,0.496,0.538,4.2,second_trigger,2026-01-03T06:00:00
TR00129,OP1005,SE00127,idle_reduction,mixed,0.919,L001,scenario,7,6,0.474,0.725,25.2,first_trigger,2026-02-15T06:00:00
TR00130,OP1020,SE00334,swing_zone_awareness,operator-driven,0.883,L003,micro_lesson,4,10,0.51,0.807,29.7,first_trigger,2026-01-21T06:00:00
TR00131,OP1026,SE00282,idle_reduction,operator-driven,0.653,L001,quiz_only,5,8,0.642,0.735,9.4,first_trigger,2026-02-06T06:00:00
TR00132,OP1023,SE01002,swing_zone_awareness,operator-driven,0.928,L003,micro_lesson,6,6,0.385,0.676,29.1,first_trigger,2026-02-28T06:00:00
TR00133,OP1013,SE00948,efficient_loading,operator-driven,0.921,L004,quiz_only,6,10,0.724,0.941,21.7,first_trigger,2026-02-02T06:00:00
TR00134,OP1008,SE01192,seatbelt_compliance,mixed,0.772,L002,scenario,3,10,0.4,0.63,23.0,first_trigger,2026-01-21T06:00:00
TR00135,OP1025,SE01247,seatbelt_compliance,mixed,0.821,L002,scenario,5,6,0.474,0.619,14.5,escalated_to_supervisor,2026-01-17T06:00:00
TR00136,OP1028,SE00104,efficient_loading,operator-driven,0.67,L004,micro_lesson,5,8,0.474,0.483,0.9,first_trigger,2026-02-23T06:00:00
TR00137,OP1024,SE00480,fuel_efficiency,mixed,0.849,L005,quiz_only,6,7,0.445,0.588,14.3,first_trigger,2026-02-14T06:00:00
TR00138,OP1020,SE01205,fuel_efficiency,operator-driven,0.662,L005,scenario,6,6,0.742,0.774,3.2,first_trigger,2026-01-20T06:00:00
TR00139,OP1021,SE00326,fuel_efficiency,operator-driven,0.902,L005,quiz_only,3,7,0.732,0.938,20.6,escalated_to_supervisor,2026-01-30T06:00:00
TR00140,OP1023,SE00600,seatbelt_compliance,operator-driven,0.783,L002,scenario,6,9,0.512,0.593,8.1,first_trigger,2026-01-05T06:00:00
TR00141,OP1005,SE00683,fuel_efficiency,operator-driven,0.825,L005,quiz_only,7,9,0.397,0.631,23.4,second_trigger,2026-01-29T06:00:00
TR00142,OP1024,SE00075,swing_zone_awareness,mixed,0.935,L003,micro_lesson,5,10,0.67,0.728,5.8,second_trigger,2026-02-07T06:00:00
TR00143,OP1025,SE00685,swing_zone_awareness,mixed,0.655,L003,scenario,6,7,0.633,0.656,2.2,first_trigger,2026-01-12T06:00:00
TR00144,OP1012,SE01347,swing_zone_awareness,operator-driven,0.776,L003,micro_lesson,6,10,0.738,0.939,20.1,first_trigger,2026-01-11T06:00:00
TR00145,OP1011,SE00178,seatbelt_compliance,operator-driven,0.706,L002,micro_lesson,5,9,0.677,0.743,6.6,first_trigger,2026-02-23T06:00:00
TR00146,OP1013,SE01052,idle_reduction,operator-driven,0.862,L001,scenario,7,7,0.398,0.653,25.4,first_trigger,2026-01-22T06:00:00
TR00147,OP1011,SE00674,efficient_loading,mixed,0.684,L004,micro_lesson,4,10,0.596,0.671,7.5,first_trigger,2026-02-14T06:00:00
TR00148,OP1005,SE00542,seatbelt_compliance,operator-driven,0.703,L002,micro_lesson,3,5,0.668,0.732,6.4,first_trigger,2026-01-27T06:00:00
TR00149,OP1014,SE00206,seatbelt_compliance,mixed,0.886,L002,micro_lesson,4,8,0.355,0.407,5.2,first_trigger,2026-01-24T06:00:00
TR00150,OP1008,SE00117,efficient_loading,mixed,0.854,L004,micro_lesson,3,8,0.324,0.622,29.8,second_trigger,2026-01-06T06:00:00
TR00151,OP1015,SE00386,fuel_efficiency,mixed,0.92,L005,scenario,4,5,0.632,0.771,13.9,escalated_to_supervisor,2026-01-19T06:00:00
TR00152,OP1023,SE00952,efficient_loading,operator-driven,0.694,L004,scenario,7,9,0.703,0.744,4.1,second_trigger,2026-02-18T06:00:00
TR00153,OP1011,SE00029,efficient_loading,mixed,0.854,L004,scenario,4,7,0.727,0.93,20.3,first_trigger,2026-01-06T06:00:00
TR00154,OP1021,SE00079,idle_reduction,mixed,0.796,L001,scenario,5,6,0.495,0.628,13.3,second_trigger,2026-01-13T06:00:00
TR00155,OP1008,SE01443,efficient_loading,operator-driven,0.781,L004,micro_lesson,3,7,0.561,0.706,14.5,first_trigger,2026-01-10T06:00:00
TR00156,OP1005,SE01064,swing_zone_awareness,operator-driven,0.829,L003,scenario,7,10,0.459,0.56,10.1,first_trigger,2026-02-09T06:00:00
TR00157,OP1009,SE00513,efficient_loading,mixed,0.714,L004,micro_lesson,5,5,0.595,0.68,8.5,first_trigger,2026-01-10T06:00:00
TR00158,OP1010,SE00694,efficient_loading,mixed,0.8,L004,scenario,5,7,0.352,0.58,22.8,first_trigger,2026-01-18T06:00:00
TR00159,OP1025,SE00794,idle_reduction,operator-driven,0.909,L001,micro_lesson,3,7,0.668,0.867,20.0,second_trigger,2026-02-11T06:00:00
TR00160,OP1008,SE00901,swing_zone_awareness,mixed,0.71,L003,micro_lesson,7,5,0.612,0.651,4.0,escalated_to_supervisor,2026-01-09T06:00:00
TR00161,OP1010,SE01248,idle_reduction,operator-driven,0.878,L001,quiz_only,5,7,0.628,0.897,26.9,second_trigger,2026-01-09T06:00:00
TR00162,OP1024,SE00750,efficient_loading,mixed,0.832,L004,micro_lesson,7,9,0.509,0.711,20.1,first_trigger,2026-02-02T06:00:00
TR00163,OP1028,SE00387,efficient_loading,mixed,0.752,L004,micro_lesson,5,5,0.352,0.461,10.8,first_trigger,2026-01-06T06:00:00
TR00164,OP1028,SE01085,swing_zone_awareness,operator-driven,0.653,L003,quiz_only,7,8,0.432,0.52,8.8,first_trigger,2026-01-16T06:00:00
TR00165,OP1008,SE01260,idle_reduction,operator-driven,0.902,L001,micro_lesson,6,9,0.572,0.686,11.3,first_trigger,2026-01-23T06:00:00
TR00166,OP1010,SE00201,fuel_efficiency,operator-driven,0.783,L005,scenario,3,5,0.397,0.663,26.7,first_trigger,2026-02-19T06:00:00
TR00167,OP1021,SE01055,idle_reduction,mixed,0.898,L001,scenario,6,9,0.437,0.586,15.0,second_trigger,2026-02-16T06:00:00
TR00168,OP1005,SE00677,fuel_efficiency,operator-driven,0.943,L005,scenario,5,6,0.696,0.905,20.9,first_trigger,2026-01-23T06:00:00
TR00169,OP1001,SE01139,seatbelt_compliance,operator-driven,0.945,L002,micro_lesson,5,10,0.618,0.772,15.5,first_trigger,2026-02-18T06:00:00
TR00170,OP1026,SE00027,idle_reduction,operator-driven,0.831,L001,quiz_only,4,10,0.373,0.562,18.9,second_trigger,2026-01-23T06:00:00
TR00171,OP1004,SE00279,efficient_loading,operator-driven,0.907,L004,micro_lesson,4,8,0.615,0.812,19.7,escalated_to_supervisor,2026-02-24T06:00:00
TR00172,OP1002,SE01120,idle_reduction,mixed,0.832,L001,quiz_only,7,7,0.671,0.86,18.9,first_trigger,2026-01-15T06:00:00
TR00173,OP1022,SE01471,seatbelt_compliance,mixed,0.781,L002,quiz_only,7,9,0.608,0.691,8.3,second_trigger,2026-02-27T06:00:00
TR00174,OP1020,SE01355,fuel_efficiency,operator-driven,0.861,L005,quiz_only,5,6,0.633,0.711,7.9,first_trigger,2026-02-28T06:00:00
TR00175,OP1025,SE00947,fuel_efficiency,operator-driven,0.88,L005,quiz_only,6,10,0.641,0.709,6.8,second_trigger,2026-01-15T06:00:00
TR00176,OP1012,SE00746,efficient_loading,operator-driven,0.889,L004,quiz_only,7,9,0.425,0.603,17.8,first_trigger,2026-01-13T06:00:00
TR00177,OP1025,SE00373,fuel_efficiency,mixed,0.688,L005,scenario,4,5,0.416,0.446,3.0,second_trigger,2026-02-03T06:00:00
TR00178,OP1026,SE01108,idle_reduction,mixed,0.839,L001,micro_lesson,7,5,0.429,0.561,13.2,first_trigger,2026-01-07T06:00:00
TR00179,OP1025,SE00170,fuel_efficiency,operator-driven,0.652,L005,scenario,5,5,0.581,0.612,3.1,first_trigger,2026-02-22T06:00:00
TR00180,OP1010,SE00162,swing_zone_awareness,mixed,0.666,L003,quiz_only,6,9,0.431,0.49,5.9,second_trigger,2026-01-29T06:00:00
