session_id,task_id,operator_id,machine_id,start_timestamp,end_timestamp,task_type,task_phase,workload,target_output,priority,machine_condition,attachment_type,engine_hours,engine_load_pct,load_cycles,soil_material,soil_moisture_pct,soil_hardness_index,site_slope_deg,surface_type,congestion_level,travel_distance_km,rain_mm,temperature_c,heat_index_c,visibility_m,dust_level,day_night,shift_elapsed_min,operator_cumulative_hours,recent_idle_ratio,recent_load_ratio,recent_incident_count,actual_task_duration_min,actual_fuel_used_l,actual_idle_time_min,actual_cycle_count,data_source,synthetic_flag,data_quality_confidence
S000011,T01474,OP1029,EXC010,2026-01-01T21:26:37,2026-01-01T22:23:19,loading,setup,medium,74.1,5,good,hammer,5000.0,62.1,69,rock,18.0,0.794,14.9,soft,medium,0.81,0.0,31.0,31.0,1916.0,low,night,926.0,28416.9,0.1828,0.6365,0,56.71,14.4,10.51,69,synthetic,True,0.85
S000012,T00447,OP1008,EXC006,2026-01-01T22:37:28,2026-01-02T00:15:31,excavation,active,medium,317.6,5,poor,grapple,3970.0,75.3,107,rock,42.1,0.735,1.4,paved,high,2.94,0.0,36.6,36.6,3966.0,low,night,997.0,25730.9,0.1439,0.6351,1,98.05,19.51,13.99,107,synthetic,True,0.85
S000013,T00198,OP1013,EXC008,2026-01-02T00:01:25,2026-01-02T00:42:47,grading,active,medium,627.6,3,good,bucket,4805.0,66.6,31,mixed,71.5,0.761,10.1,rocky,low,3.52,0.0,25.6,25.6,2979.0,low,night,0.0,24347.7,0.1651,0.6024,0,41.37,4.5,6.77,31,synthetic,True,0.85
S000014,T00416,OP1006,EXC001,2026-01-02T02:29:46,2026-01-02T03:33:41,excavation,active,medium,282.1,5,good,ripper,3905.0,62.7,53,gravel,44.4,0.382,3.3,soft,high,0.7,0.0,35.8,35.8,3720.0,low,night,0.0,23602.4,0.1912,0.6244,0,63.91,7.12,12.34,53,synthetic,True,0.85
S000015,T00776,OP1008,EXC009,2026-01-02T03:17:39,2026-01-02T04:11:50,loading,active,medium,89.8,5,good,ripper,4810.0,61.8,58,mixed,35.7,0.409,11.8,wet,high,4.2,0.0,16.3,16.3,3145.0,low,night,0.0,25583.5,0.133,0.6112,1,54.17,9.17,7.95,58,synthetic,True,0.85
S000016,T00282,OP1029,EXC009,2026-01-02T04:47:52,2026-01-02T06:19:59,trenching,setup,medium,38.0,3,good,blade,4810.0,69.8,112,rock,21.9,0.872,11.3,wet,medium,0.75,0.0,17.9,17.9,3813.0,low,night,0.0,28316.0,0.1402,0.634,1,92.12,24.64,13.05,112,synthetic,True,0.85
S000017,T01070,OP1007,EXC008,2026-01-02T06:39:10,2026-01-02T07:44:22,trenching,wrap_up,light,143.5,2,good,bucket,4805.0,43.8,49,gravel,64.1,0.575,8.6,soft,medium,4.13,0.0,15.6,15.6,3379.0,low,day,39.0,21052.5,0.2125,0.2434,2,65.2,8.54,14.74,49,synthetic,True,0.85
S000018,T00910,OP1022,EXC010,2026-01-02T08:16:41,2026-01-02T09:01:00,hauling,setup,heavy,31.9,4,good,hammer,5000.0,87.9,29,sand,79.3,0.142,9.0,paved,low,0.67,0.0,19.1,19.1,1359.0,low,day,136.0,3793.6,0.162,0.8723,1,44.32,7.68,7.22,29,synthetic,True,0.85
S000019,T01074,OP1001,EXC010,2026-01-02T09:13:26,2026-01-02T12:10:27,trenching,active,heavy,176.3,1,good,bucket,5000.0,91.4,120,rock,21.9,0.872,11.3,wet,medium,1.32,0.0,24.4,24.4,140.0,high,day,193.0,28307.5,0.1202,0.8697,1,177.01,53.8,18.63,120,synthetic,True,0.85
S000020,T01244,OP1028,EXC005,2026-01-02T11:24:58,2026-01-02T13:15:38,excavation,active,medium,183.9,5,poor,bucket,4290.0,69.0,76,rock,42.1,0.735,1.4,paved,high,0.15,0.0,15.3,15.3,4869.0,low,day,324.0,17954.3,0.1686,0.5561,2,110.67,29.21,19.95,76,synthetic,True,0.85
S000021,T00168,OP1027,EXC001,2026-01-02T12:20:18,2026-01-02T13:41:28,loading,active,medium,93.6,3,good,bucket,3905.0,61.6,48,mixed,35.7,0.409,11.8,wet,high,4.97,0.0,28.9,28.9,375.0,medium,day,380.0,6657.0,0.3807,0.5701,0,81.16,18.47,30.19,48,synthetic,True,0.85
S000022,T00445,OP1018,EXC001,2026-01-02T14:24:21,2026-01-02T16:05:06,trenching,active,medium,44.6,5,good,blade,3905.0,65.3,61,rock,21.9,0.872,11.3,wet,medium,2.51,0.0,35.5,35.5,4406.0,low,day,504.0,18665.2,0.1889,0.6287,1,100.76,15.81,18.85,61,synthetic,True,0.85
S000023,T00489,OP1006,EXC002,2026-01-02T15:51:39,2026-01-02T19:34:38,trenching,setup,heavy,33.1,1,fair,bucket,3950.0,86.0,191,rock,28.3,0.906,14.1,rocky,high,2.31,0.0,26.9,26.9,3560.0,low,day,591.0,23609.6,0.1536,0.8684,2,222.98,61.6,35.24,191,synthetic,True,0.85
S000024,T00405,OP1012,EXC006,2026-01-02T17:18:17,2026-01-02T19:31:44,excavation,active,heavy,219.0,3,poor,blade,3970.0,87.2,138,mixed,71.5,0.761,10.1,rocky,low,0.9,0.0,35.7,35.7,4866.0,low,day,678.0,18056.8,0.0911,0.8581,2,133.44,40.84,12.72,138,synthetic,True,0.85
S000025,T00781,OP1019,EXC005,2026-01-02T18:46:00,2026-01-02T19:41:38,loading,active,light,95.7,5,poor,grapple,4290.0,49.6,61,rock,18.0,0.794,14.9,soft,medium,4.5,0.0,34.9,34.9,2465.0,low,day,766.0,33742.0,0.1947,0.2288,1,55.64,18.38,10.59,61,synthetic,True,0.85
S000026,T00299,OP1004,EXC010,2026-01-02T20:03:58,2026-01-02T21:23:31,grading,setup,medium,934.2,5,good,grapple,5000.0,62.3,52,mixed,35.7,0.409,11.8,wet,high,0.64,0.0,30.3,30.3,3662.0,low,night,843.0,24813.2,0.1628,0.5691,0,79.56,19.28,11.3,52,synthetic,True,0.85
S000027,T00677,OP1028,EXC008,2026-01-02T21:02:26,2026-01-02T23:05:32,trenching,wrap_up,medium,166.1,1,good,bucket,4805.0,69.3,84,mixed,35.7,0.409,11.8,wet,high,0.11,0.0,34.1,34.1,3378.0,low,night,902.0,17849.0,0.2412,0.5633,0,123.09,31.47,30.03,84,synthetic,True,0.85
S000028,T00113,OP1008,EXC010,2026-01-02T23:26:47,2026-01-03T00:33:34,excavation,setup,light,283.5,5,good,blade,5000.0,34.0,72,rock,28.3,0.906,14.1,rocky,high,0.54,0.0,24.8,24.8,1608.0,low,night,1046.0,25588.5,0.1562,0.282,0,66.79,7.1,9.93,72,synthetic,True,0.85
S000029,T01498,OP1005,EXC001,2026-01-03T00:26:14,2026-01-03T00:59:55,loading,setup,light,28.9,5,good,ripper,3905.0,44.5,24,rock,42.1,0.735,1.4,paved,high,1.31,0.0,38.2,38.2,4759.0,low,night,0.0,28934.5,0.1875,0.3454,2,33.69,4.7,6.42,24,synthetic,True,0.85
S000030,T00927,OP1010,EXC004,2026-01-03T01:38:18,2026-01-03T02:17:26,grading,active,light,767.2,2,good,bucket,3790.0,38.1,30,rock,16.5,0.88,2.4,soft,medium,2.87,0.0,32.5,32.5,912.0,low,night,0.0,23372.1,0.1599,0.2354,2,39.13,2.96,6.58,30,synthetic,True,0.85
S000031,T01277,OP1003,EXC005,2026-01-03T03:47:03,2026-01-03T04:41:58,hauling,wrap_up,medium,47.5,3,poor,ripper,4290.0,62.9,69,mixed,71.5,0.761,10.1,rocky,low,3.6,0.0,21.8,21.8,3906.0,low,night,0.0,17981.8,0.0466,0.5366,2,54.93,20.32,1.97,69,synthetic,True,0.85
S000032,T01285,OP1029,EXC005,2026-01-03T04:59:36,2026-01-03T05:33:38,loading,active,light,33.9,5,poor,grapple,4290.0,46.8,42,gravel,64.1,0.575,8.6,soft,medium,1.92,0.0,37.5,37.5,2978.0,low,night,0.0,28285.8,0.1635,0.3784,2,34.03,7.93,5.49,42,synthetic,True,0.85
S000033,T00193,OP1010,EXC007,2026-01-03T06:35:54,2026-01-03T07:17:35,hauling,setup,light,39.3,1,poor,ripper,3915.0,36.6,30,rock,21.9,0.872,11.3,wet,medium,0.32,0.0,38.4,38.4,3083.0,low,day,35.0,23418.2,0.127,0.4087,1,41.68,4.76,5.48,30,synthetic,True,0.85
S000034,T00448,OP1028,EXC001,2026-01-03T07:43:26,2026-01-03T08:54:47,trenching,active,light,62.5,4,good,hammer,3905.0,42.4,48,rock,18.0,0.794,14.9,soft,medium,2.75,0.0,38.0,38.0,4868.0,low,day,103.0,17958.3,0.1442,0.2022,1,71.35,13.85,10.55,48,synthetic,True,0.85
S000035,T00159,OP1010,EXC009,2026-01-03T09:40:39,2026-01-03T10:23:50,trenching,setup,light,190.2,3,good,bucket,4810.0,36.6,34,sand,79.3,0.142,9.0,paved,low,2.57,0.0,31.9,31.9,461.0,medium,day,220.0,23371.2,0.119,0.346,1,43.18,3.63,5.99,34,synthetic,True,0.85
S000036,T00941,OP1025,EXC009,2026-01-03T10:31:03,2026-01-03T11:54:12,trenching,active,light,166.9,3,good,grapple,4810.0,44.2,81,rock,21.9,0.872,11.3,wet,medium,2.75,0.0,26.8,26.8,4649.0,low,day,271.0,14532.5,0.1263,0.3255,2,83.16,10.05,11.21,81,synthetic,True,0.85
S000037,T00723,OP1008,EXC010,2026-01-03T12:28:02,2026-01-03T13:11:37,hauling,active,light,34.4,4,good,bucket,5000.0,39.6,45,rock,28.3,0.906,14.1,rocky,high,1.91,0.0,23.9,23.9,3218.0,low,day,388.0,25708.4,0.1299,0.121,1,43.58,5.11,5.08,45,synthetic,True,0.85
S000038,T00467,OP1008,EXC008,2026-01-03T13:37:34,2026-01-03T14:05:23,loading,active,light,52.4,5,good,ripper,4805.0,36.0,32,mixed,71.5,0.761,10.1,rocky,low,3.11,0.73,36.0,38.0,1958.0,low,day,457.0,25619.1,0.0948,0.2501,1,27.82,3.13,2.52,32,synthetic,True,0.85
S000039,T00534,OP1029,EXC006,2026-01-03T15:01:16,2026-01-03T17:19:13,excavation,active,medium,71.6,1,poor,grapple,3970.0,67.2,166,rock,18.0,0.794,14.9,soft,medium,2.02,0.0,37.6,37.6,265.0,medium,day,541.0,28342.3,0.1837,0.6063,2,137.95,58.72,23.48,166,synthetic,True,0.85
S000040,T01121,OP1003,EXC008,2026-01-03T16:39:28,2026-01-03T17:56:48,trenching,active,light,108.3,5,good,bucket,4805.0,43.3,99,rock,18.0,0.794,14.9,soft,medium,2.69,0.0,29.1,29.1,1776.0,low,day,639.0,17980.1,0.0976,0.188,1,77.34,15.61,6.8,99,synthetic,True,0.85
S000041,T00102,OP1013,EXC001,2026-01-03T18:20:01,2026-01-03T19:01:08,grading,wrap_up,medium,199.7,1,good,bucket,3905.0,66.0,29,sand,79.3,0.142,9.0,paved,low,0.86,0.0,36.1,36.1,1310.0,low,day,740.0,24433.4,0.1766,0.5701,1,41.12,3.51,7.35,29,synthetic,True,0.85
S000042,T00223,OP1007,EXC007,2026-01-03T20:20:55,2026-01-03T21:10:29,hauling,active,medium,25.1,3,poor,hammer,3915.0,66.2,39,gravel,64.1,0.575,8.6,soft,medium,2.41,0.0,24.5,24.5,4798.0,low,night,860.0,20952.7,0.2285,0.6587,2,49.56,11.67,11.02,39,synthetic,True,0.85
S000043,T01101,OP1010,EXC008,2026-01-03T21:15:04,2026-01-03T21:47:41,hauling,active,medium,14.7,1,good,grapple,4805.0,67.2,24,gravel,64.1,0.575,8.6,soft,medium,4.69,0.0,25.7,25.7,382.0,medium,night,915.0,23222.3,0.1408,0.6049,0,32.63,4.22,4.86,24,synthetic,True,0.85
S000044,T00301,OP1017,EXC010,2026-01-03T22:32:38,2026-01-03T23:19:42,grading,active,light,369.6,4,good,hammer,5000.0,40.5,36,gravel,64.1,0.575,8.6,soft,medium,3.14,1.18,32.6,34.6,1989.0,low,night,992.0,19229.6,0.2139,0.3274,2,47.06,4.85,10.1,36,synthetic,True,0.85
S000045,T01337,OP1012,EXC001,2026-01-04T00:02:08,2026-01-04T01:25:07,excavation,active,medium,308.1,1,good,bucket,3905.0,65.6,83,rock,42.1,0.735,1.4,paved,high,0.17,0.0,36.3,36.3,3272.0,low,night,0.0,18183.9,0.1004,0.5513,0,82.99,12.82,8.83,83,synthetic,True,0.85
S000046,T01301,OP1009,EXC002,2026-01-04T01:43:12,2026-01-04T02:57:17,grading,active,medium,625.2,4,fair,hammer,3950.0,63.6,95,gravel,64.1,0.575,8.6,soft,medium,0.37,0.0,30.6,30.6,283.0,medium,night,0.0,26468.5,0.1505,0.5987,0,74.07,7.07,11.62,95,synthetic,True,0.85
S000047,T01326,OP1007,EXC007,2026-01-04T03:17:28,2026-01-04T03:49:26,hauling,active,medium,23.9,3,poor,bucket,3915.0,59.0,24,sand,79.3,0.142,9.0,paved,low,4.47,0.0,21.6,21.6,3904.0,low,night,0.0,20899.9,0.1647,0.6074,1,31.96,7.68,5.47,24,synthetic,True,0.85
S000048,T00817,OP1014,EXC008,2026-01-04T04:43:36,2026-01-04T05:42:10,grading,active,medium,419.3,3,good,bucket,4805.0,67.2,62,gravel,44.4,0.382,3.3,soft,high,2.6,0.0,20.5,20.5,4242.0,low,night,0.0,34510.6,0.0716,0.6013,1,58.58,6.71,4.1,62,synthetic,True,0.85
S000049,T00744,OP1022,EXC002,2026-01-04T06:32:34,2026-01-04T07:21:46,loading,active,medium,15.7,2,fair,bucket,3950.0,61.4,29,mixed,71.5,0.761,10.1,rocky,low,1.65,0.0,23.3,23.3,4178.0,low,day,32.0,3760.3,0.1994,0.5938,2,49.2,10.05,9.56,29,synthetic,True,0.85
S000050,T00797,OP1004,EXC005,2026-01-04T07:33:47,2026-01-04T08:32:35,hauling,active,medium,44.9,3,poor,ripper,4290.0,68.6,40,gravel,64.1,0.575,8.6,soft,medium,4.87,0.0,20.2,20.2,289.0,medium,day,93.0,24842.5,0.1563,0.6164,1,58.8,19.0,8.54,40,synthetic,True,0.85
S000051,T00898,OP1024,EXC009,2026-01-04T09:29:22,2026-01-04T11:04:18,trenching,active,medium,131.3,5,good,ripper,4810.0,70.4,143,gravel,44.4,0.382,3.3,soft,high,3.09,0.0,34.6,34.6,393.0,medium,day,209.0,23768.1,0.2638,0.5116,0,94.94,16.9,25.17,143,synthetic,True,0.85
S000052,T00011,OP1007,EXC006,2026-01-04T11:13:24,2026-01-04T12:53:54,excavation,setup,medium,354.8,5,poor,blade,3970.0,62.5,77,rock,18.0,0.794,14.9,soft,medium,2.07,0.0,19.7,19.7,4338.0,low,day,313.0,20909.7,0.1966,0.6195,0,100.5,29.24,19.52,77,synthetic,True,0.85
S000053,T00765,OP1007,EXC003,2026-01-04T12:00:27,2026-01-04T13:26:39,excavation,active,medium,178.9,1,poor,bucket,4055.0,65.2,65,rock,42.1,0.735,1.4,paved,high,3.55,0.0,37.2,37.2,3657.0,low,day,360.0,20931.5,0.2729,0.5527,2,86.19,24.66,23.99,65,synthetic,True,0.85
S000054,T01151,OP1001,EXC005,2026-01-04T14:18:10,2026-01-04T17:02:50,trenching,active,light,63.5,3,poor,bucket,4290.0,38.2,112,rock,42.1,0.735,1.4,paved,high,0.9,6.93,25.1,27.1,233.0,medium,day,498.0,28440.7,0.1561,0.3041,0,164.67,29.92,27.35,112,synthetic,True,0.85
S000055,T01260,OP1004,EXC008,2026-01-04T15:15:08,2026-01-04T15:54:08,grading,active,light,646.7,3,good,hammer,4805.0,41.8,26,rock,42.1,0.735,1.4,paved,high,2.17,0.0,29.2,29.2,2112.0,low,day,555.0,24709.7,0.1744,0.2466,2,39.0,5.97,6.69,26,synthetic,True,0.85
S000056,T00127,OP1012,EXC007,2026-01-04T16:57:14,2026-01-04T19:20:20,grading,wrap_up,heavy,414.6,5,poor,grapple,3915.0,75.4,146,rock,18.0,0.794,14.9,soft,medium,0.79,0.0,22.5,22.5,1567.0,low,day,657.0,18136.5,0.0918,0.8084,2,143.1,57.55,12.91,146,synthetic,True,0.85
S000057,T00178,OP1023,EXC009,2026-01-04T18:57:56,2026-01-04T19:55:31,loading,active,medium,15.5,3,good,bucket,4810.0,63.3,41,mixed,71.5,0.761,10.1,rocky,low,1.35,0.0,38.2,38.2,3208.0,low,day,777.0,3536.6,0.1493,0.5674,0,57.59,7.91,7.54,41,synthetic,True,0.85
S000058,T00909,OP1014,EXC001,2026-01-04T19:50:10,2026-01-04T20:22:49,hauling,active,medium,35.9,5,good,hammer,3905.0,68.2,36,mixed,71.5,0.761,10.1,rocky,low,4.15,0.0,25.0,25.0,746.0,low,night,830.0,34445.5,0.0437,0.5522,0,32.64,4.34,1.53,36,synthetic,True,0.85
S000059,T00268,OP1021,EXC010,2026-01-04T21:11:33,2026-01-04T22:33:51,excavation,active,light,478.9,2,good,bucket,5000.0,34.7,88,rock,21.9,0.872,11.3,wet,medium,4.8,0.0,18.5,18.5,2913.0,low,night,911.0,4288.5,0.1741,0.3113,0,82.31,22.1,14.42,88,synthetic,True,0.85
S000060,T00614,OP1013,EXC008,2026-01-04T23:13:06,2026-01-05T01:04:56,excavation,setup,medium,137.6,1,good,hammer,4805.0,62.9,79,rock,28.3,0.906,14.1,rocky,high,4.81,0.0,34.0,34.0,1644.0,low,night,1033.0,24434.1,0.25,0.6465,2,111.85,16.48,28.12,79,synthetic,True,0.85
S000061,T01443,OP1026,EXC010,2026-01-05T00:53:56,2026-01-05T01:41:55,excavation,active,medium,310.2,4,good,grapple,5000.0,62.0,55,sand,79.3,0.142,9.0,paved,low,4.33,1.23,23.2,25.2,2131.0,low,night,0.0,20143.8,0.1512,0.5484,1,47.99,9.74,7.54,55,synthetic,True,0.85
S000062,T00597,OP1023,EXC003,2026-01-05T02:16:43,2026-01-05T03:43:39,hauling,active,light,6.7,1,poor,hammer,4055.0,33.1,63,rock,28.3,0.906,14.1,rocky,high,0.92,0.0,16.1,16.1,109.0,high,night,0.0,3493.0,0.2237,0.4152,1,86.93,11.9,20.02,63,synthetic,True,0.85
S000063,T01014,OP1021,EXC001,2026-01-05T03:21:02,2026-01-05T05:07:57,grading,active,medium,166.6,3,good,ripper,3905.0,69.5,111,mixed,35.7,0.409,11.8,wet,high,1.87,1.89,29.7,31.7,4752.0,low,night,0.0,4339.2,0.2709,0.5786,1,106.91,27.23,30.75,111,synthetic,True,0.85
S000064,T00577,OP1018,EXC003,2026-01-05T04:30:55,2026-01-05T05:22:42,loading,active,medium,59.1,1,poor,hammer,4055.0,67.9,29,gravel,44.4,0.382,3.3,soft,high,1.2,0.0,18.7,18.7,596.0,low,night,0.0,18649.2,0.2495,0.5804,1,51.78,9.12,12.4,29,synthetic,True,0.85
S000065,T01371,OP1016,EXC007,2026-01-05T06:30:22,2026-01-05T07:55:53,trenching,wrap_up,light,155.3,5,poor,blade,3915.0,39.6,114,rock,42.1,0.735,1.4,paved,high,0.13,0.0,28.7,28.7,4085.0,low,day,30.0,22465.6,0.2963,0.2168,0,85.53,12.69,25.93,114,synthetic,True,0.85
S000066,T00970,OP1015,EXC004,2026-01-05T08:22:03,2026-01-05T09:02:47,grading,active,light,881.7,3,good,ripper,3790.0,35.4,25,rock,16.5,0.88,2.4,soft,medium,0.38,0.0,26.8,26.8,1021.0,low,day,142.0,19735.1,0.1007,0.3603,0,40.74,5.84,3.79,25,synthetic,True,0.85
S000067,T00064,OP1030,EXC002,2026-01-05T09:31:37,2026-01-05T10:12:31,hauling,wrap_up,light,11.9,2,fair,grapple,3950.0,37.1,27,rock,18.0,0.794,14.9,soft,medium,0.43,1.25,19.2,21.2,2184.0,low,day,211.0,20806.3,0.2383,0.2502,1,40.9,6.82,9.35,27,synthetic,True,0.85
S000068,T00457,OP1026,EXC006,2026-01-05T11:29:19,2026-01-05T13:35:05,trenching,active,medium,52.4,4,poor,blade,3970.0,70.1,139,gravel,44.4,0.382,3.3,soft,high,3.58,0.0,15.3,15.3,1766.0,low,day,329.0,20173.3,0.2542,0.6068,0,125.76,29.62,32.06,139,synthetic,True,0.85
S000069,T01085,OP1018,EXC003,2026-01-05T12:45:03,2026-01-05T14:38:46,excavation,active,medium,160.4,2,poor,ripper,4055.0,62.6,66,mixed,35.7,0.409,11.8,wet,high,3.42,0.0,29.0,29.0,4296.0,low,day,405.0,18579.3,0.2538,0.6178,2,113.71,23.67,27.51,66,synthetic,True,0.85
S000070,T00557,OP1001,EXC004,2026-01-05T14:00:45,2026-01-05T14:44:11,hauling,active,medium,32.1,3,good,ripper,3790.0,69.1,28,rock,18.0,0.794,14.9,soft,medium,3.27,0.0,27.6,27.6,1455.0,low,day,480.0,28339.3,0.1096,0.6272,1,43.42,9.85,4.44,28,synthetic,True,0.85
S000071,T01472,OP1016,EXC003,2026-01-05T15:15:22,2026-01-05T16:42:39,stockpiling,active,medium,171.2,4,poor,hammer,4055.0,69.6,117,rock,18.0,0.794,14.9,soft,medium,3.64,0.0,19.8,19.8,4287.0,low,day,555.0,22354.6,0.2012,0.6082,2,87.29,26.58,19.0,117,synthetic,True,0.85
S000072,T00346,OP1023,EXC006,2026-01-05T17:05:39,2026-01-05T17:59:02,loading,active,medium,64.7,1,poor,grapple,3970.0,72.4,37,sand,79.3,0.142,9.0,paved,low,2.59,0.0,33.6,33.6,2755.0,low,day,665.0,3453.9,0.1101,0.5541,1,53.37,8.96,6.32,37,synthetic,True,0.85
S000073,T00034,OP1016,EXC001,2026-01-05T18:10:39,2026-01-05T21:05:36,trenching,wrap_up,heavy,163.7,3,good,blade,3905.0,84.9,234,mixed,35.7,0.409,11.8,wet,high,1.1,0.61,30.2,32.2,3077.0,low,day,730.0,22475.3,0.2972,0.8144,1,174.94,40.25,53.1,234,synthetic,True,0.85
S000074,T00113,OP1003,EXC010,2026-01-05T19:38:58,2026-01-05T20:54:42,excavation,setup,light,283.5,5,good,blade,5000.0,32.3,96,rock,28.3,0.906,14.1,rocky,high,0.54,0.0,21.7,21.7,2039.0,low,night,818.0,17885.6,0.0663,0.3065,0,75.74,12.26,5.46,96,synthetic,True,0.85
S000075,T01268,OP1030,EXC002,2026-01-05T21:18:20,2026-01-05T23:28:11,excavation,active,medium,110.1,4,fair,bucket,3950.0,71.8,91,rock,28.3,0.906,14.1,rocky,high,0.61,0.0,27.7,27.7,564.0,low,night,918.0,20781.8,0.3043,0.6733,0,129.84,24.39,40.51,91,synthetic,True,0.85
S000076,T01463,OP1027,EXC007,2026-01-05T23:02:47,2026-01-06T00:14:53,hauling,wrap_up,heavy,48.6,1,poor,blade,3915.0,78.7,42,rock,16.5,0.88,2.4,soft,medium,3.2,0.0,19.6,19.6,2751.0,low,night,1022.0,6625.7,0.2779,0.8392,0,72.11,31.04,20.24,42,synthetic,True,0.85
S000077,T01307,OP1024,EXC006,2026-01-06T00:22:48,2026-01-06T02:04:09,excavation,active,medium,100.6,3,poor,blade,3970.0,66.9,153,rock,21.9,0.872,11.3,wet,medium,0.43,0.0,24.7,24.7,1845.0,low,night,0.0,23760.1,0.2063,0.5739,0,101.36,24.81,19.91,153,synthetic,True,0.85
S000078,T01401,OP1003,EXC007,2026-01-06T02:29:18,2026-01-06T05:24:50,excavation,active,heavy,390.0,3,poor,ripper,3915.0,84.8,227,rock,18.0,0.794,14.9,soft,medium,2.21,0.0,24.5,24.5,1270.0,low,night,0.0,17866.5,0.0426,0.8722,1,175.52,87.59,7.16,227,synthetic,True,0.85
S000079,T00043,OP1009,EXC002,2026-01-06T03:45:43,2026-01-06T04:07:14,loading,active,light,24.5,1,fair,blade,3950.0,39.4,25,sand,79.3,0.142,9.0,paved,low,4.45,0.0,29.1,29.1,1790.0,low,night,0.0,26280.5,0.0826,0.1723,0,21.51,1.91,1.74,25,synthetic,True,0.85
